CurrentDateTime,RSSI,RSRP,RSRQ,RSSNR,CQI,TA,Level,ANDRO_ID,Bitrate (DataSource),Bitrate (Mpd),Resolution (Displayed),Resolution (Mpd),Rebuffering (Last),Segment Size,State Current
2024-02-14T15:40:20.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6263,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:21.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7223,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:22.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7223,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:23.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7426,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:24.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7426,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:25.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7095,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:26.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7095,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:27.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6742,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:28.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6742,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:29.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6464,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:30.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7857,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:31.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7857,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:32.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7857,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:33.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7789,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:34.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7789,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:35.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7789,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:36.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7527,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:37.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7527,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:38.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7527,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:39.408,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7527,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:40.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7421,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:41.407,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,7421,4375,1920x1080,1920x1080,962,2.0,STATE_READY
2024-02-14T15:40:42.406,-95,-95,-13,-20,7,2147483647,1,c213b90a14211698,6783,4375,1920x1080,1920x1080,962,2.0,STATE_READY
